42;Issuer Identification Number (IIN);The number that identifies the major industry and the card issuer and that forms the first part of the Primary Account Number (PAN);Card;n 6;'BF0C' or '73';3;3;primitive;
9F07;Application Usage Control (AUC);Indicates issuer's specified restrictions on the geographic usage and services allowed for the card application.;Card;binary;;2;2;primitive;
9F08;Application Version Number;Version number assigned by the payment system for the application in the Card;Card;binary;'70' or '77';2;2;primitive;
9F08;Application Version Number;Version number assigned by the Issuer for the application in the Card;Card;binary 16;'70' or '77';2;2;primitive;
9F09;Application Version Number;Version number assigned by the payment system for the Kernel application;Terminal;binary;;2;2;primitive;
9F0B;Cardholder Name Extended;Indicates the whole cardholder name when greater than 26 characters using the same coding convention as in ISO 7813;Card;ans 27-45;'70' or '77';27;45;primitive;
9F0D;Issuer Action Code - Default;Specifies the issuer's conditions that cause a transaction to be rejected if it might have been approved online, but the terminal is unable to process the transaction online;Card;binary;'70' or '77';5;5;primitive;
9F0D;Issuer Action Code - Default;Specifies conditions that cause a transaction to be declined if it might have been approved online, but the Reader is unable to process the transaction online.;Card;binary 40;'70' or '77';5;5;primitive;
9F0D;Issuer Action Code - Default;Specifies the issuer's conditions that cause a transaction to be rejected if it might have been approved online, but the terminal is unable to process the transaction online;Card;binary;'70' or '77';5;5;primitive;
9F0E;Issuer Action Code - Denial;Specifies the issuer's conditions that cause the denial of a transaction without attempt to go online;Card;binary;'70' or '77';5;5;primitive;
9F0E;Issuer Action Code - Denial;Specifies conditions that cause the decline of a transaction without attempting to go online.;Card;binary 40;'70' or '77';5;5;primitive;
9F0E;Issuer Action Code - Denial;Specifies the issuer's conditions that cause the denial of a transaction without attempt to go online;Card;binary;'70' or '77';5;5;primitive;
9F0F;Issuer Action Code - Online;Specifies the issuer's conditions that cause a transaction to be transmitted online;Card;binary;'70' or '77';5;5;primitive;
9F0F;Issuer Action Code - Online;Specifies conditions that cause a transaction to be transmitted online.;Card;binary 40;'70' or '77';5;5;primitive;
9F0F;Issuer Action Code - Online;Specifies the issuer's conditions that cause a transaction to be transmitted online;Card;binary;'70' or '77';5;5;primitive;
9F10;Issuer Application Data (IAD);Contains proprietary application data for transmission to the issuer in an online transaction. ;Card;binary;'77' or '80';0;32;primitive;
;;Note: For CCD-compliant applications, Annex C, section C7 defines the specific coding of the Issuer Application Data (IAD). To avoid potential conflicts with CCD-compliant applications, it is strongly recommended that the IAD data element in an application that is not CCD-compliant should not use the coding for a CCD-compliant application.;;;;;;;
9F10;Issuer Application Data (IAD);Contains proprietary application data for transmission to the issuer in an online transaction. ;Card;binary;'77' or '80';0;32;primitive;
;;Note: For CCD-compliant applications, Annex C, section C7 defines the specific coding of the Issuer Application Data (IAD). To avoid potential conflicts with CCD-compliant applications, it is strongly recommended that the IAD data element in an application that is not CCD-compliant should not use the coding for a CCD-compliant application.;;;;;;;
9F10;Issuer Application Data (IAD);Contains proprietary application data for transmission to the Issuer in an online transaction.;Card;binary;'77' or '80';0;32;primitive;
9F10;Issuer Application Data (IAD);Contains proprietary application data for transmission to the Issuer in all transaction messages.;Card;binary;'77' or '80';var. 32;var. 32;primitive;
9F10;Issuer Application Data (IAD);Contains proprietary application data for transmission to the Issuer in an online transaction.;Card;binary;'77' or '80';var. up to 32;var. up to 32;primitive;
9F11;Issuer Code Table Index;Indicates the code table according to ISO/IEC 8859 for displaying the Application Preferred Name;Card;n 2;'A5';1;1;primitive;
9F11;Issuer Code Table Index;Indicates the code table according to ISO/IEC 8859 for displaying the Application Preferred Name;Card;n 2;'A5';1;1;primitive;
9F11;Issuer Code Table Index;Indicates the code table according to ISO/IEC 8859 for displaying the Application Preferred Name;Card;n 2;'A5';1;1;primitive;
9F12;Application Preferred Name;Preferred mnemonic associated with the AID;Card;ans;'61' or 'A5';1;16;primitive;
9F12;Application Preferred Name;Preferred mnemonic associated with the AID;Card;ans 1-16;'61' or 'A5';1;16;primitive;
9F12;Application Preferred Name;Preferred mnemonic associated with the AID;Card;ans 1-16;'61' or 'A5';1;16;primitive;
9F13;Last Online Application Transaction Counter (ATC) Register;ATC value of the last transaction that went online;Card;binary;;2;2;primitive;
9F14;Lower Consecutive Offline Limit;Issuer-specified preference for the maximum number of consecutive offline transactions for this ICC application allowed in a terminal with online capability;Card;binary;'70' or '77';1;1;primitive;
9F15;Merchant Category Code;Classifies the type of business being done by the merchant, represented according to ISO 8583:1993 for Card Acceptor Business Code;Terminal;n 4;;2;2;primitive;
9F15;Merchant Category Code;Classifies the type of business being done by the merchant, represented according to ISO 8583:1993 for Card Acceptor Business Code;Configuration (POS);n 4;;2;2;primitive;
9F16;Merchant Identifier;When concatenated with the Acquirer Identifier, uniquely identifies a given merchant;Terminal;ans 15;;15;15;primitive;
9F17;Personal Identification Number (PIN) Try Counter;Number of PIN tries remaining;Card;binary;;1;1;primitive;
9F18;Issuer Script Identifier;May be sent in authorisation response from issuer when response contains Issuer Script. Assigned by the issuer to uniquely identify the Issuer Script.;Issuer;binary 32;'71' or '72';4;4;primitive;
9F18;Issuer Script Identifier;Identification of the Issuer Script.;Issuer;binary;'71' or '72';4;4;primitive;
9F19;Deleted (see 9F49);;;H;;;;;
9F1A;Terminal Country Code;Indicates the country of the terminal, represented according to ISO 3166;Terminal;n 3;;2;2;primitive;
9F1A;Terminal Country Code;Indicates the country of the terminal, represented according to ISO 3166-1;Terminal;n 3;;2;2;primitive;
9F1A;Terminal Country Code;Indicates the country of the terminal, represented according to ISO 3166;Terminal;n 3;;2;2;primitive;
9F1A;Terminal Country Code;Indicates the country of the terminal, represented according to ISO 3166;Terminal;n 3;;2;2;primitive;
9F1A;Terminal Country Code;Indicates the country of the terminal, represented according to ISO 3166. Requested in CDOL1.;Configuration (POS);n 3;;2;2;primitive;
9F1B;Terminal Floor Limit;Indicates the floor limit in the terminal in conjunction with the AID;Terminal;binary 32;;4;4;primitive;
9F1B;Terminal Floor Limit;Indicates the floor limit in the terminal in conjunction with the AID;Terminal;binary 32;;4;4;primitive;
9F1C;Terminal Identification;Designates the unique location of a Terminal at a merchant;Terminal;an 8;;8;8;primitive;
9F1D;Terminal Risk Management Data;Application-specific value used by the card for risk management purposes;Terminal;binary;;1;8;primitive;
9F1E;Interface Device (IFD) Serial Number;Unique and permanent serial number assigned to the IFD by the manufacturer;Terminal;an 8;;8;8;primitive;
9F1F;Track 1 Discretionary Data;Discretionary part of track 1 according to ISO/IEC 7813;Card;ans;'70' or '77';var.;var.;primitive;
9F1F;Track 1 Discretionary Data;Discretionary part of track 1 according to ISO/IEC 7813;Card;ans;'70' or '77';var.;var.;primitive;
9F1F;Track 1 Discretionary Data;Discretionary part of track 1 according to ISO/IEC 7813;Card;ans;'70' or '77';var.;var.;primitive;
9F1F;Track 1 Discretionary Data;Discretionary part of track 1 according to ISO/IEC 7813;Card;ans;'70' or '77';var.;var.;primitive;
9F20;Track 2 Discretionary Data;Discretionary part of track 2 according to ISO/IEC 7813;Card;cn;'70' or '77';var.;var.;constructed;
9F21;Transaction Time;Local time at which the transaction was performed.;Terminal;n 6 (HHMMSS);;3;3;constructed;
9F21;Transaction Time;Local time at which the transaction was authorised.;POS;n 6 (HHMMSS);;3;3;constructed;
9F22;Certification Authority Public Key Index (PKI);Identifies the Certificate Authority's public key in conjunction with the RID for use in offline static and dynamic data authentication.;Terminal;binary 8;;1;1;constructed;
9F23;Upper Consecutive Offline Limit;Issuer-specified preference for the maximum number of consecutive offline transactions for this ICC application allowed in a terminal without online capability;Card;binary;'70' or '77';1;1;constructed;
9F26;Application Cryptogram (AC);Cryptogram returned by the ICC in response of the GENERATE AC or RECOVER AC command;Card;binary;'77' or '80';8;8;constructed;
9F26;Application Cryptogram (AC);Cryptogram returned by the ICC in response of the GENERATE AC or RECOVER AC command;Card;binary;'77' or '80';8;8;constructed;
9F26;Application Cryptogram (AC);Cryptogram returned by the card in response to the GPO command.;Card;binary 64;'77' or '80';8;8;constructed;
9F26;Application Cryptogram (AC);AC computed by the card during a transaction.;Card;binary 64;'77' or '80';8;8;constructed;ARQC, AAC, TC
9F26;Application Cryptogram (AC);Cryptogram returned by the card in response of the GENERATE AC command.;Card;binary;'77' or '80';8;8;constructed;
9F27;Cryptogram Information Data (CID);Indicates the type of cryptogram and the actions to be performed by the terminal;Card;binary;'77' or '80';1;1;constructed;
9F27;Cryptogram Information Data (CID);Indicates the type of cryptogram and the actions to be performed by the Kernel. The Cryptogram Information Data is coded according to Table 14 of [EMV Book 3].;Card;binary;'77' or '80';1;1;constructed;
9F27;Cryptogram Information Data (CID);Indicates the type of cryptogram (TC, ARQC, or AAC) returned by the card and the actions to be performed by the reader.;Card;binary 8;;1;1;constructed;
9F27;Cryptogram Information Data (CID);Indicates the type of cryptogram (TC, ARQC, or AAC) returned by the card and the actions to be performed by the terminal.;Card;binary 8;;1;1;constructed;
9F27;Cryptogram Information Data (CID);Indicates the type of cryptogram and the actions to be performed by the terminal after the GENERATE AC command.;Card;binary;;1;1;constructed;
9F29;Extended Selection;The value to be appended to the ADF Name in the data field of the SELECT command, if the Extended Selection Support flag is present and set to 1. Content is payment system proprietary.;Card;binary;'61';var.;var.;;
9F2A;Kernel Identifier;Indicates the card's preference for the kernel on which the contactless application can be processed.;Card;binary;'61';1;1;;
9F2D;Integrated Circuit Card (ICC) PIN Encipherment Public Key Certificate;ICC PIN Encipherment Public Key certified by the issuer;Card;binary;'70' or '77';var. (NI);var. (NI);constructed;
9F2E;Integrated Circuit Card (ICC) PIN Encipherment Public Key Exponent;ICC PIN Encipherment Public Key Exponent used for PIN encipherment;Card;binary;'70' or '77';1 or 3;1 or 3;constructed;
9F2F;Integrated Circuit Card (ICC) PIN Encipherment Public Key Remainder;Remaining digits of the ICC PIN Encipherment Public Key Modulus;Card;binary;'70' or '77';var. (NPE - NI + 42);var. (NPE - NI + 42);constructed;
9F32;Issuer Public Key Exponent;Issuer public key exponent used for the verification of the Signed Static Application Data and the ICC Public Key Certificate;Card;binary;'70' or '77';1;3;constructed;
9F32;Issuer Public Key Exponent;Issuer public key exponent used for the verification of the Signed Static Application Data and the ICC Public Key Certificate;Card;binary;'70' or '77';1 or 3;1 or 3;constructed;
9F32;Issuer Public Key Exponent;Issuer-specified data to be used with the Issuer's public key algorithm for static data authentication.;Card;binary;'70' or '77';1 or 3;1 or 3;constructed;
9F32;Issuer Public Key Exponent;Issuer public key exponent used for the verification of the Signed Static Application Data and the ICC Public Key Certificate;Card;binary;'70' or '77';1;3;constructed;
9F33;Terminal Capabilities;Indicates the card data input, CVM, and security capabilities of the Terminal and Reader. The CVM capability (Byte 2) is instantiated with values depending on the transaction amount. The Terminal Capabilities is coded according to Annex A.2 of [EMV Book 4].;Terminal;binary;;3;3;constructed;
9F33;Terminal Capabilities;Indicates the card data input, CVM, and security capabilities of the Terminal.;Terminal;binary 24;;3;3;constructed;
9F34;Cardholder Verification Method (CVM) Results;Indicates the results of the last CVM performed;Terminal;binary;;3;3;constructed;
9F35;Terminal Type;Indicates the environment of the terminal, its communications capability, and its operational control;Terminal;n 2;;1;1;constructed;
9F35;Terminal Type;Indicates the environment of the terminal, its communications capability, and its operational control;Terminal;n 2;;1;1;constructed;
9F35;Terminal Type;Indicates the environment of the terminal, its communications capability, and its operational control;Configuration (POS);n 2;;1;1;constructed;
9F36;Application Transaction Counter (ATC);Counter maintained by the application in the ICC (incrementing the ATC is managed by the ICC);Card;binary;'77' or '80';2;2;constructed;
9F36;Application Transaction Counter (ATC);Counter maintained by the application in the ICC (incrementing the ATC is managed by the ICC);Card;binary;'77' or '80';2;2;constructed;
9F36;Application Transaction Counter (ATC);Count of the number of transactions initiated since personalisation. Maintained by the application in the card.;Card;binary 16;;2;2;constructed;
9F36;Application Transaction Counter (ATC);Counter maintained by the application in the card. Initial value is zero. It is incremented by 1 each time a transaction is performed.;Card;binary 16;;2;2;constructed;
9F36;Application Transaction Counter (ATC);Counter maintained by the application in the card (incrementing the ATC is managed by the card).;Card;binary;;2;2;constructed;
9F37;Unpredictable Number (UN);Value to provide variability and uniqueness to the generation of a cryptogram;Terminal;binary;;4;4;constructed;
9F37;Unpredictable Number (UN);Contains a Kernel challenge (random) to be used by the Card to ensure the variability and uniqueness to the generation of a cryptogram during an EMV mode transaction.;Terminal;binary;;4;4;constructed;
9F37;Unpredictable Number (UN) (Reader/Terminal);Value to provide variability and uniqueness to the generation of the application cryptogram.;Terminal;binary 32;;4;4;constructed;
9F37;Unpredictable Number (UN);Value to provide variability and uniqueness to the generation of the application cryptogram.;Terminal;binary 32;;4;4;constructed;
9F37;Unpredictable Number (UN);Value to provide variability and uniqueness to the generation of the application cryptogram. Requested in CDOL1.;POS;binary;;4;4;constructed;
9F38;Processing Options Data Object List (PDOL);Contains a list of terminal resident data objects (tags and lengths) needed by the ICC in processing the GET PROCESSING OPTIONS command;Card;binary;'A5';var.;var.;constructed;
9F38;Processing Options Data Object List (PDOL);List of terminal/reader-related data objects (tags and lengths) requested by the card to be transmitted in the GET PROCESSING OPTIONS command.;Card;binary;'A5';var.;var.;constructed;
9F38;Processing Options Data Object List (PDOL);List of terminal/reader-related data objects (tags and lengths) requested by the card to be transmitted in the GET PROCESSING OPTIONS command.;Card;binary;'A5';var.;var.;constructed;
9F38;Processing Options Data Object List (PDOL);List of terminal/reader-related data objects (tags and lengths) requested by the card to be transmitted in the GET PROCESSING OPTIONS command.;Card;binary;'A5';var.;var.;constructed;
9F39;Point-of-Service (POS) Entry Mode;Indicates the method by which the PAN was entered, according to the first two digits of the ISO 8583:1987 POS Entry Mode;Terminal;n 2;;1;1;constructed;
9F3A;Amount, Reference Currency;Authorised amount expressed in the reference currency;Terminal;binary;;4;4;constructed;
9F3B;Application Reference Currency;"1-4 currency codes used between the terminal and the ICC when the Transaction Currency Code is different from the Application Currency Code; each code is 3 digits according to ISO 4217";Card;n 3;'70' or '77';2;8;constructed;
9F3C;Transaction Reference Currency Code;Code defining the common currency used by the terminal in case the Transaction Currency Code is different from the Application Currency Code;Terminal;n 3;;2;2;constructed;
9F3D;Transaction Reference Currency Exponent;Indicates the implied position of the decimal point from the right of the transaction amount, with the Transaction Reference Currency Code represented according to ISO 4217;Terminal;n 1;;1;1;constructed;
9F40;Additional Terminal Capabilities;Indicates the data input and output capabilities of the Terminal and Reader. The Additional Terminal Capabilities is coded according to Annex A.3 of [EMV Book 4].;Terminal;binary;;5;5;primitive;
9F40;Additional Terminal Capabilities;Indicates the data input and output capabilities of the Terminal.;Terminal;binary;;5;5;primitive;
9F41;Transaction Sequence Counter;Counter maintained by the terminal that is incremented by one for each transaction;Terminal;n 4-8;;2;4;primitive;
9F42;Application Currency Code;Indicates the currency in which the account is managed according to ISO 4217;Card;n 3;'70' or '77';2;2;primitive;
9F42;Application Currency Code;Indicates the currency in which the account is managed according to ISO 4217;Card;n 3;'70' or '77';2;2;primitive;
9F42;Application Currency Code;Indicates the currency in which the account is managed according to ISO 4217;Card;n 3;'70' or '77';2;2;primitive;
9F43;Application Reference Currency Exponent;Indicates the implied position of the decimal point from the right of the amount, for each of the 1-4 reference currencies represented according to ISO 4217;Card;n 1;'70' or '77';1;4;primitive;
9F44;Application Currency Exponent;Indicates the implied position of the decimal point from the right of the amount represented according to ISO 4217;Card;n 1;'70' or '77';1;1;primitive;
9F45;Data Authentication Code;An issuer assigned value that is retained by the terminal during the verification process of the Signed Static Application Data;Card;binary;;2;2;primitive;
9F46;Integrated Circuit Card (ICC) Public Key Certificate;ICC Public Key certified by the issuer;Card;binary;'70' or '77';var. (NI);var. (NI);primitive;
9F46;Integrated Circuit Card (ICC) Public Key Certificate;ICC Public Key certified by the issuer;Card;binary;'70' or '77';var. (NI);var. (NI);primitive;
9F46;Application Public Key Certificate;Application Public Key Certificate used during CDA.;Card;binary;'70' or '77';var. up to 128;var. up to 128;primitive;
9F46;Integrated Circuit Card (ICC) Public Key Certificate;ICC Public Key certified by the issuer;Card;binary;'70' or '77';var. (NI);var. (NI);primitive;
9F47;Integrated Circuit Card (ICC) Public Key Exponent;Exponent ICC Public Key Exponent used for the verification of the Signed Dynamic Application Data;Card;binary;'70' or '77';1;3;primitive;
9F47;Integrated Circuit Card (ICC) Public Key Exponent;Exponent ICC Public Key Exponent used for the verification of the Signed Dynamic Application Data;Card;binary;'70' or '77';1;3;primitive;
9F47;Application Public Key Exponent;Exponent of Application Public Key;Card;binary;'70' or '77';1 or 3;1 or 3;primitive;
9F47;Integrated Circuit Card (ICC) Public Key Exponent;Exponent ICC Public Key Exponent used for the verification of the Signed Dynamic Application Data;Card;binary;'70' or '77';1;3;primitive;
9F48;Integrated Circuit Card (ICC) Public Key Remainder;Remaining digits of the ICC Public Key Modulus;Card;binary;'70' or '77';var. (NIC - NI + 42);var. (NIC - NI + 42);primitive;
9F48;Integrated Circuit Card (ICC) Public Key Remainder;Digits of the ICC Public Key Modulus which do not fit within the ICC Public Key Certificate.;Card;binary;'70' or '77';var. (NIC - NI + 42);var. (NIC - NI + 42);primitive;
9F48;Application Public Key Remainder;Remaining digits of Application Public Key.;Card;binary;'70' or '77';var.;var.;primitive;
9F48;Integrated Circuit Card (ICC) Public Key Remainder;Digits of the ICC Public Key Modulus which do not fit within the ICC Public Key Certificate.;Card;binary;'70' or '77';var. (NIC - NI + 42);var. (NIC - NI + 42);primitive;
9F49;Dynamic Data Authentication Data Object List (DDOL);List of data objects (tag and length) to be passed to the ICC in the INTERNAL AUTHENTICATE command;Card;binary;'70' or '77';0;252;primitive;
9F4A;Static Data Authentication Tag List (SDA);List of tags of primitive data objects defined in this specification whose value fields are to be included in the Signed Static or Dynamic Application Data;Card;-;'70' or '77';var.;var.;primitive;
9F4A;Static Data Authentication Tag List (SDA);Contains list of tags of primitive data objects whose value fields are to be included in the ICC Public Key Certificate hash result.;Card;-;'70' or '77';var.;var.;primitive;
9F4A;Static Data Authentication Tag List (SDA);List of tags of primitive data objects defined in this specification whose value fields are to be included in the Signed Static or Dynamic Application Data;Card;-;'70' or '77';var.;var.;primitive;
9F4A;Static Data Authentication Tag List (SDA);List of tags of primitive data objects defined in this specification whose value fields are to be included in the Signed Static or Dynamic Application Data;Card;-;'70' or '77';var.;var.;primitive;
9F4B;Signed Dynamic Application Data (SDAD);Digital signature on critical application parameters for CDA;Card;binary;'77' or '80';var. (NIC);var. (NIC);primitive;
9F4B;Signed Dynamic Application Data (SDAD);Dynamic signature generated by the card and validated by the reader during fDDA processing.;Card;binary;'77' or '80';var. (NIC);var. (NIC);primitive;
9F4B;Signed Dynamic Application Data (SDAD);Digital signature on critical application parameters for DDA or CDA;Card;binary;'77' or '80';var. (NIC);var. (NIC);primitive;
9F4C;ICC Dynamic Number;Time-variant number generated by the ICC, to be captured by the terminal;Card;binary;;2;8;primitive;
9F4D;Log Entry;Provides the SFI of the Transaction Log file and its number of records;Card;binary;'BF0C' or '73';2;2;primitive;
9F4D;Log Entry;Data element indicating the location (SFI) and the maximum number of transaction log records.;Card;binary;;2;2;primitive;
9F4E;Merchant Name and Location;Indicates the name and location of the merchant;Terminal;ans;;var.;var.;primitive;
9F4E;Merchant Name and Location;Indicates the name and location of the merchant. The reader shall return the value of the Merchant Name and Location when requested by the card in a Data Object List.;Terminal;ans;;var.;var.;primitive;
9F4E;Merchant Name and Location;Indicates the name and location of the merchant;Configuration (POS);ans;;var.;var.;primitive;
9F4F;Log Format;List (in tag and length format) of data objects representing the logged data elements that are passed to the terminal when a transaction log record is read;Card;binary;;var.;var.;primitive;
9F50;Offline Accumulator Balance;Represents the amount of offline spending available in the Card. The Offline Accumulator Balance is retrievable by the GET DATA command, if allowed by the Card configuration.;;n 12;;6;6;;
9F50;Cardholder Verification Status;Indicates the CVM choice (already done or to be subsequently applied) for the transaction. Choice is made dynamically by card based on transaction context and card risk management configuration.;Card;binary;;1;1;;
9F51;Application Currency Code;;Card;binary;;var.;var.;;
9F51;DRDOL;A data object in the Card that provides the Kernel with a list of data objects that must be passed to the Card in the data field of the RECOVER AC command.;Card;binary;;var.;var.;;
9F52;Application Default Action (ADA);;Card;binary;;var.;var.;;
9F52;Terminal Compatibility Indicator;Indicates to the card the transaction modes (EMV, Magstripe) supported by the Kernel;Kernel 5;binary;;1;1;;
9F53;Consecutive Transaction Counter International Limit (CTCIL);;Card;binary;;var.;var.;;
9F53;Transaction Category Code;This is a data object defined by MasterCard which indicates the type of transaction being performed, and which may be used in card risk management.;Card;an;;1;1;;
9F53;Terminal Interchange Profile (dynamic);Defines the reader CVM requirement and capabilities, as well as other reader capabilities (online capability, contact EMV capability) for the Transaction;Kernel 5;binary;;3;3;;
9F54;Cumulative Total Transaction Amount Limit (CTTAL);;Card;binary;;var.;var.;;
9F54;DS ODS Card;Contains the Card stored operator proprietary data obtained in the response to the GET PROCESSING OPTIONS command.;Card;binary;;0;160;;
9F55;Geographic Indicator;;Card;H;;;;;
9F55;Issuer Authentication Flags;;Card;binary;;1;1;;40
9F55;Issuer Authentication Flags;;Card;binary;;1;1;;40
9F55;Issuer Authentication Flags;;Card;binary;;1;1;;40
9F56;Issuer Authentication Indicator;;Card;H;;;;;
9F56;Issuer Proprietary Bitmap;;Card;binary;;var.;var.;;00 00 7F FF FF 00 00 00 00 00 00 00 00 00 00 20 80 00
9F56;Issuer Proprietary Bitmap;;Card;binary;;var.;var.;;00 00 7F FF FF 00 00 00 00 00 00 00 00 00 00 20 80 00
9F56;Issuer Proprietary Bitmap;;Card;binary;;var.;var.;;00 00 7F FF FF 00 00 00 00 00 00 00 00 00 00 20 80 00
9F57;Issuer Country Code;;Card;binary;;var.;var.;;
9F58;Consecutive Transaction Counter Limit (CTCL);;Card;binary;;var.;var.;;
9F59;Consecutive Transaction Counter Upper Limit (CTCUL);;Card;binary;;var.;var.;;
9F5A;Application Program Identifier (Program ID);Payment system proprietary data element identifying the Application Program ID of the card application. When personalised, the Application Program ID is returned in the FCI Issuer Discretionary Data of the SELECT response (Tag BF0C'). EMV mode readers that support Dynamic Reader Limits (DRL) functionality examine the Application Program ID to determine the Reader Limit Set to apply.;Card;binary;;1;16;;
9F5A;Application Program Identifier (Program ID);Proprietary data element used by the device during Dynamic Reader Limit processing to determine the Reader Limit Set to apply for the transaction. EMV mode readers that support Dynamic Reader Limits (DRL) functionality support four or more Application Program Identifiers, each corresponding to a Reader Limit Set.;Terminal;binary;;1;16;;
9F5B;Issuer Script Results;Indicates the results of Issuer Script processing. When the reader/terminal transmits this data element to the acquirer, in this version of Kernel 3, it is acceptable that only byte 1 is transmitted, although it is preferable for all five bytes to be transmitted.;Terminal;binary;;var.;var.;;
9F5B;DSDOL;A data object in the Card that provides the Kernel with a list of data objects that must be passed to the Card in the data field of the GENERATE AC command after the CDOL1 Related Data. An example of value for DSDOL is 'DF6008DF6108DF6201DF63A0', representing TLDS Input (Card) TLDS Digest H TLDS ODS Info TLDS ODS Term. The Kernel must not presume that this is a given though, as the sequence and presence of data objects can vary. The presence of TL DS ODS Info is mandated and the processing of the last TL entry in DSDOL is different from normal TL processing as described in section 4.1.4.;Terminal;binary;;var.;var.;;
9F5C;Cumulative Total Transaction Amount Upper Limit (CTTAUL);Visa proprietary data element specifying the maximum total amount of offline transactions in the designated currency or designated and secondary currency allowed for the card application before a transaction is declined after an online transaction is unable to be performed.;Card;n 12;;6;6;;
9F5C;DS Requested Operator ID;Contains the Terminal determined operator identifier for data storage. It is sent to the Card in the GET PROCESSING OPTIONS command.;Card;binary;;8;8;;
9F5C;Magstripe Data Object List (MDOL);List of data objects (tag and length) to be passed to the card in the GET MAGSTRIPE DATA command.;Card;binary;;var. up to 252;var. up to 252;;
9F5D;Available Offline Spending Amount (AOSA);Kernel 3 proprietary data element indicating the remaining amount available to be spent offline. The AOSA is a calculated field used to allow the reader to print or display the amount of offline spend that is available on the card.;Card;n 12;;6;6;;
9F5D;Application Capabilities Information (ACI);Lists a number of card features beyond regular payment.;Card;binary;;3;3;;
9F5E;Consecutive Transaction International Upper Limit (CTIUL);;Card;binary;;var.;var.;;
9F5E;DS ID;Data Storage Identifier constructed as follows: Application PAN (without any 'F' padding) Application PAN Sequence Number If necessary, it is padded to the left with one hexadecimal zero to ensure whole bytes. If necessary, it is padded to the left with hexadecimal zeroes to ensure a minimum length of 8 bytes.;Card;n 16-22;;8;11;;
9F5F;DS Slot Availability;Contains the Card indication, obtained in the response to the GET PROCESSING OPTIONS command, about the slot type(s) available for data storage.;Card;binary;;1;1;;
9F5F;Offline Balance;In the case of a prepaid card, represents the value stored in card. May be returned in the GENERATE AC response.;Card;n 12;;6;6;;
